YEAR,WEEK,TOTAL SPECIMENS,A (H1),A (Unable to Subtype),A (H3),A (2009 H1N1),A (Subtyping not Performed),B,H3N2v,PERCENT POSITIVE
2008,40,347,0,0,0,0,0,0,0,0
2008,41,375,0,0,0,0,0,1,0,0.266667
2008,42,349,0,0,0,0,0,0,0,0
2008,43,389,1,0,0,0,0,1,0,0.514139
2008,44,436,1,0,0,0,1,2,0,0.917431
2008,45,460,1,0,0,0,0,0,0,0.217391
2008,46,536,1,0,0,0,0,0,0,0.186567
2008,47,491,0,0,0,0,0,3,0,0.610998
2008,48,449,0,0,0,0,1,0,0,0.222717
2008,49,621,1,0,1,0,0,0,0,0.322061
2008,50,537,8,0,0,0,1,0,0,1.67598
2008,51,580,10,0,3,0,4,3,0,3.44828
2008,52,571,7,0,0,0,5,3,0,2.62697
2008,53,666,2,0,1,0,7,2,0,1.8018
2009,1,696,25,0,7,0,7,8,0,6.75287
2009,2,737,33,0,3,0,15,5,0,7.59837
2009,3,730,40,0,7,0,20,16,0,11.3699
2009,4,851,75,0,5,0,39,40,0,18.6839
2009,5,984,87,0,3,0,55,85,0,23.374
2009,6,1192,171,0,4,0,89,110,0,31.3758
2009,7,1222,168,0,12,0,99,154,0,35.4337
2009,8,1254,138,0,2,0,115,191,0,35.5662
2009,9,1206,115,0,15,0,108,213,0,37.3964
2009,10,1081,74,0,4,0,79,210,0,33.95
2009,11,1051,81,0,6,0,55,217,0,34.1579
2009,12,889,37,0,2,0,37,127,0,22.8346
2009,13,743,34,0,4,0,22,97,0,21.1306
2009,14,586,18,0,4,0,11,41,0,12.628
2009,15,499,5,0,0,0,6,12,0,4.60922
2009,16,496,7,0,1,1,2,19,0,6.04839
2009,17,1793,64,1,36,57,6,33,0,10.9872
2009,18,1746,14,0,34,61,6,19,0,7.67468
2009,19,1120,8,0,20,82,5,7,0,10.8929
2009,20,1188,5,0,17,137,9,1,0,14.2256
2009,21,1121,0,0,14,216,19,1,0,22.3015
2009,22,1349,7,0,6,400,34,1,0,33.2098
2009,23,1865,12,0,5,625,123,0,0,41.0188
2009,24,2052,0,0,0,1075,193,0,0,61.7934
2009,25,1577,0,7,2,500,139,1,0,41.1541
2009,26,1266,1,4,2,383,81,1,0,37.2828
2009,27,1121,0,2,0,272,57,0,0,29.5272
2009,28,867,0,3,0,141,50,0,0,22.376
2009,29,779,0,0,0,107,15,0,0,15.6611
2009,30,757,0,2,0,130,23,0,0,20.4756
2009,31,712,0,1,0,106,17,0,0,17.4157
2009,32,697,0,0,0,85,12,0,0,13.9168
2009,33,726,0,0,0,95,11,0,0,14.6006
2009,34,799,0,0,0,76,7,0,0,10.388
